,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"PayPal
4.2",Data Scientist 1,Bengaluru,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: Identity products are at the core of customer experience in PayPal. In this role you will participate in efforts to continuously enhance customer identity experiences and the underlying platforms. In this role you will provide data driven insights on identity capabilities rolling out to apps across web and mobile. You will be provide analytics and data insights used to forecast and measure feature benefits. These analytics and insights will further advance the ability to inform prioritization with more detailed quantified impact and to continuously learn and adapt plans based on measured results. As a member of the product analytics team, you will • Become a domain expert in your product area and conduct rigorous data analysis to help improve customer experiences and identify profitable growth opportunities • Work cross-functionally with product, engineering, design, and marketing teams to build world-class products and design hypothesis-driven experiments; make clear, coherent, and holistic recommendations based on test results • Improve product experiences for 200+ million customers using data science techniques • Leverage the Objective & Key Results (OKR) framework to identify product metrics and monitor product performance through dashboards and ad hoc analysis • Present findings and recommendations to senior-level/non-technical stakeholders
Job Description:
At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job title:
Data Scientist, Product Analytics
Grade Level:
24 - Data Scientist 1
Job Description Summary:
Identity products are at the core of customer experience in PayPal. In this role you will participate in efforts to continuously enhance customer identity experiences and the underlying platforms.
In this role you will provide data driven insights on identity capabilities rolling out to apps across web and mobile. You will be provide analytics and data insights used to forecast and measure feature benefits. These analytics and insights will further advance the ability to inform prioritization with more detailed quantified impact and to continuously learn and adapt plans based on measured results.
As a member of the product analytics team, you will
Become a domain expert in your product area and conduct rigorous data analysis to help improve customer experiences and identify profitable growth opportunities
Work cross-functionally with product, engineering, design, and marketing teams to build world-class products and design hypothesis-driven experiments; make clear, coherent, and holistic recommendations based on test results
Improve product experiences for 200+ million customers using data science techniques
Leverage the Objective & Key Results (OKR) framework to identify product metrics and monitor product performance through dashboards and ad hoc analysis
Present findings and recommendations to senior-level/non-technical stakeholders
Job Description:
About You:
You are curious and inquisitive: love digging into data and uncovering insights
You are hyper-analytical and intellectually honest, truly believing in data-driven decisions and communicating your ideas through storytelling
You are familiar with data science and machine learning techniques to improve product experiences
You are a highly motivated, result-oriented self-starter, enjoy working in a fast-paced environment, and can deliver successful results with minimal guidance
You are a fun-loving, adventurous team player
Role:
As a member of the product analytics team, you will
Become a domain expert in your product area and conduct rigorous data analysis to help improve customer experiences and identify profitable growth opportunities
Work cross-functionally with product, engineering, design, and marketing teams to build world-class products and design hypothesis-driven experiments; make clear, coherent, and holistic recommendations based on test results
Improve product experiences for 200+ million customers using data science techniques
Leverage the Objective & Key Results (OKR) framework to identify product metrics and monitor product performance through dashboards and ad hoc analysis
Present findings and recommendations to senior-level/non-technical stakeholders
Deliver actionable, data-driven insights to help understand customer behavior, launch and optimize new features, and prioritize the product roadmap Build automation
Identify key metrics, conduct rigorous explorative data analysis, create exec-facing dashboards, and build business cases that drive decision-making and business prioritization
Support multiple projects at the same time in a fast-paced, results-oriented environment
Requirements:
Data-driven mindset with a degree in a quantitative discipline such as Computer Science, Statistics, Engineering, Mathematics, or Economics
2-4 years of relevant work experience in analyzing large, multi-dimensional data sets and synthesizing data insights into actionable recommendations
Hands-on experience in Python or any programming is preferred.
Fluent in SQL and Excel; experience with a statistical programming language (e.g., R, Python), visualization tools such as Tableau or Looker is preferred
Exceptional written and verbal communication skills to influence cross-functional teams
Prior work experience in digital (website/marketing/product) analytics, management consulting, investment banking, and/or consumer financial products is highly valued
Experience/knowledge of employing statistical, data mining, and machine learning algorithms (e.g. regression and clustering) on real-world problems is a plus
Subsidiary:
PayPal
Travel Percent:
0
Education:
Languages:
Certifications:
Our Benefits:
At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.
We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com
Who We Are:
Click Here to learn more about our culture and community.

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.

PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
Our Benefits:

At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:

To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
To apply to this job, click Apply Now
Show Less
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
1,"WSD Consultant
5.0",Junior Data Scientist/ta,Bengaluru,"Junior Data Scientist/ta
Bangalore, Mumbai, Pune, Chennai, Noida, Hyderabad


candidate should qualify checklist written below:

Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ? Please mention

Ques: Is the candidate willing to work full time as a Data Science program Manager/ Academic and content delivery/ End to End Curriculam delivery and management ?

Ques: Does the candidate has Data Science/ Machine learning content development and academic delivery experience/ Faculty Development programs in any Teaching Institution or E - Learning Companies?


Job Specifications

Exp. 1.0 - 5.0 Year(s)
Annual Fixed CTC Min : 7.0 Lacs Max: 15.0 Lacs
Qualification B.Tech/B.E. , Any Post Graduation
No of openings 3
Additional Doc/Msg
Experience
1 - 20 Years

Salary
4 Lac To 32 Lac 50 Thousand P.A.

Industry
IT Software - Application Programming / Maintenance

Key Skills
Data Scientist


About Company
Company Name
Great Learning


About Company
Great Learning is an online and hybrid learning company that offers high-quality, impactful, and industry-relevant learning programs to working professionals. These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future. These programs are delivered through a convenient and robust technology-enabled experience with no disruption to their careers.

Contact Person
Miss Anjali Singh

Address
Gurgaon

Mobile
9540042962

Email ID
infohrwsd@gmail.com
Show Less
Report",#N/A,Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
2,Diagnokare Technologies,Data Science Intern,Bengaluru,"We are a health tech company looking for data science interns to join our team. If you are ambitious, excited about next-generation tech and have a constant hunger to learn, we encourage you to apply. Your responsibilities will be around developing deep learning algorithms in NLP and CV domain.
Detailed responsibilities:
Design, develop, and implement deep learning models for various applications, such as image recognition, natural language processing, and predictive analytics.
Optimize deep learning models for performance, accuracy, and scalability.
Evaluate and test deep learning models using a range of metrics to ensure they meet requirements and expectations.
Qualifications:
Pursuing Bachelor's or Master's in Computer Science, Data Science or Artificial Intelligence
Strong understanding of machine learning concepts, deep learning frameworks, and programming languages such as Python.
Experience with data preprocessing, data augmentation, and data visualization techniques.
Excellent problem-solving skills and the ability to work independently.
If you are a motivated self-starter with a passion for data science and analytics, and the ability to read and write academic papers, we encourage you to submit your application.
Job Type: Full-time
Salary: ₹20,000.00 - ₹30,000.00 per month
Schedule:
Monday to Friday
Supplemental pay types:
Performance bonus
Ability to commute/relocate:
Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 20/05/2023
Expected Start Date: 23/05/2023
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,"Google
4.4","Data Scientist, Ads Insight and Measurement",Bengaluru,"Minimum qualifications:
Master's degree in Statistics or Economics, or a quantitative discipline, or equivalent practical experience.
Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages.

Preferred qualifications:
PhD degree in a quantitative discipline
Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data
Experience with machine learning on large datasets
Understand potential outcomes framework and have familiarity with causal inference methods (e.g., split-testing, instrumental variables, difference-in-difference methods, fixed effects regression, panel data models, regression discontinuity, matching estimators). Knowledge of structural econometric methods.
2 years of experience in working as a Data Scientist, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods
About the job
At Google, data drives all of our decision-making. Quantitative Analysts work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical excellence and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As an analyst, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution.
As a Data Scientist, you will evaluate and improve Google's products. You'll collaborate with a multi-disciplinary team of Engineers and Analysts on a wide range of problems, using statistical methods for the challenges of measuring quality, improving consumer products, and understanding the behavior of end-users, advertisers, and publishers.

Responsibilities
Help suggest, support, and shape new data-driven and privacy-preserving advertising and marketing products in collaboration with engineering, product, and customer facing teams.
Collaborate with teams to define relevant questions about advertising effectiveness, incrementality assessment, the impact of privacy, user behavior, brand building, targeting, and bidding, and develop and implement quantitative methods to answer those questions.
Find ways to combine large-scale experimentation, statistical-econometric, machine learning, and social-science methods to answer business questions at scale.
Use causal inference methods to design and suggest experiments and new ways to establish causality, assess attribution, and answer strategic questions using data.
Work with large, complex data sets. Conduct end-to-end analyses that include data gathering and requirements specification, exploratory data analysis (EDA), model development, and written and verbal delivery of results to business partners and executives.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
To apply to this job, click Apply Now
Show Less
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
4,"Whiteforce
3.4",Data Scientist - Sta,Bengaluru,"Employment Information
Industry Data Scientist
Job level
Salary -
Experience -
Pay-Type
Close-date
JOB-IDJB-22397
LocationBangalore
Job Descriptions





Your Responsibilities :
Designing and developing statistical models and applications fitting to business requirements.
Study and transform data science prototypes.
Perform data mining, pattern recognition, statistical analysis using large structured and unstructured data including time-series, device data, image, documents, etc.
Perform statistical analysis and fine-tuning using test results.
Living ABB's core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
Your background :
Understanding and practical skills preferably in the following :
Proven experience as a Machine Learning, Statistics, Deep Learning, Recommendation system (Prescriptive analytics), Neural Networks and NLP.
Strong understanding of statistical modeling and it
Skills
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
5,"Mercedes-Benz Research and Development India Private Limited
4.1",Data Scientist,Bengaluru,"Aufgaben

Qualifications:
Advanced Python Knowledge.
Advanced time series forecasting modelling.
Experience with Object Oriented Programming in Python.
Experience with Machine Learning algorithms.
Fluent in English.
Proactive, good communicator, critical thinking, whole product view (not just feature development), aim for sustainability of the product, team player.
(Preferred) Experience contributing to Python libraries.
Responsibilities:
Development and constant enhancement of time-series forecasting functionalities.
Code integration and testing of functionalities.
Integration with sktime python library.
Implementation of functionalities in Python based on customer requirements/feedback.
Exploration of new forecasting methods towards higher accuracy of forecasts.
Python code refactoring.
Creation and maintenance of documentation.
Qualifikationen

B Tech/BE

Experience in Application Development
Apply Now: click Apply Now
Show Less
Report",#N/A,5001 to 10000 Employees,Company - Private,Information Technology,Information Technology Support Services,1996,$100 to $500 million (USD)
6,"Tesco Technology
3.7",Associate Data Scientist,Bengaluru,"Company Description

Tesco Bengaluru: We are a multi-disciplinary team creating a sustainable competitive advantage for Tesco by standardising processes, delivering cost savings, enabling agility, providing cutting-edge technological solutions and empowering our colleagues to do ever more for our customers. With cross-functional expertise in Global Business Services and Retail Technology & Engineering, a wide network of teams and strong governance we reduce complexity thereby offering high quality services for our customers. Tesco Bengaluru, established in 2004 to enable standardisation and build centralised capabilities and competencies, makes the experience better for our millions of customers worldwide and simpler for over 4,40,000 colleagues.
Tesco Technology consists of people from a number of different backgrounds, but having a common purpose to serve our shoppers a little better every day with our retail technological solutions. We shared a common interest in harnessing innovations in technology to enhance their shopping experience at Tesco stores. Whether making products, software or systems, our teams focuses on various aspects from taking strategic ownership of the architecture to delivering technological solutions such as design, testing, deployment, infrastructure, operation and security of the systems to ensure agile, smooth and safe operations. These help us to deliver the maximum business impact. Teams refine their internal processes to best fit their own needs, working to build core capabilities in application and services. We collaborate globally across teams to build end-to-end customer-facing solutions, as well as to share knowledge, experience, tools and techniques.
At Tesco, inclusion means that Everyone?s Welcome. Everyone is treated fairly and with respect; by valuing individuality and uniqueness we create a sense of belonging.
Diversity and inclusion have always been at the heart of Tesco. It is embedded in our values: we treat people how they want to be treated. We always want our colleagues to feel they can be themselves at work and we are committed to helping them be at their best.
Across the Tesco group we are building an inclusive workplace, a place to actively celebrate the cultures, personalities and preferences of our colleagues ? who in turn help to build the success of our business and reflect the diversity of the communities we serve.

Job Description

In this role your work will focus on modelling sophisticated business problems and developing / deploying the algorithmic features of technology products at scale.

As an Associate Data Scientist; you are responsible for:
Completing small Data Science tasks under the guidance of more experienced members of the team.
Quickly learning about hypothesis-driven product development.
Quickly learning about software development best practices.
Quickly learning about the team's tech stack.
Quickly learning agile project management.

The Data Science Team's work spans across multiple business domains including physical stores; online; supply chain; marketing and Clubcard and we encourage rotation so our Data Scientists can gain expertise in different business and technical domains.

As a member of the Data Science Team; you will have the opportunity to work on problem spaces including but not limited to Search & Recommendations; Personalisation; Pricing Optimisation; Operations Optimisation in Fulfilment and Distribution; Forecasting and Computer Vision. We also dedicate Friday afternoons to self-learning and personal development.

This is a hands-on position where you will need to demonstrate your analytical approach to finding solutions to sophisticated problems. You will need to understand difficult business problems and prototype solutions with minimal support. Apply; modify and design algorithms and mathematical models to tackle business problems on top of big data architectures (Hadoop; Spark) is a core component of the role.

Our Associate Data Scientists need to be able to validate; document and present the modelling process and performances; as well as communicate sophisticated solutions in a clear; understandable way to non-experts.

Associate Data Scientists are also responsible for promoting data science across Tesco and promote Tesco across the external Data Science community.

Qualifications

Machine Learning; Statistics; AI

Additional Information

Important Notice:
On behalf of Tesco Bengaluru, we must caution all job seekers and educational institutions that Tesco Bengaluru does not authorise any third parties to release employment offers or conduct recruitment drives via a third party. Hence, beware of inauthentic and fraudulent job offers or recruitment drives from any individuals or websites purporting to represent Tesco. Further, Tesco Bengaluru does not charge any fee or other emoluments for any reason (including without limitation, visa fees) or seek compensation from educational institutions to participate in recruitment events.

Accordingly, please check the authenticity of any such offers before acting on them and where acted upon, you do so at your own risk. Tesco Bengaluru shall neither be responsible for honouring or making good the promises made by fraudulent third parties, nor for any monetary or any other loss incurred by the aggrieved individual or educational institution.

In the event that you come across any fraudulent activities in the name of Tesco Bengaluru, please feel free report the incident at recruitment_compliance_india@tesco.com
Show Less
Report",#N/A,10000+ Employees,Company - Private,Retail & Wholesale,Grocery Stores,1919,Unknown / Non-Applicable
7,"Whiteforce
3.4",Data Scientist/ML En,Bengaluru,"Employment Information
Industry Data Scientist/
Job level
Salary -
Experience -
Pay-Type
Close-date
JOB-IDJB-22251
LocationBangalore,Chennai,Gurgaon,Gurugram,Hyderabad,Pune
Job Descriptions


Job Tittle : Data scientist / ML Engineer
Work Location : Gurgaon/Pune/Hyderabad/Bangalore/Chennai
Qualification : BTech/Mtech/MS/MCA /MCA
Work Experience : 3 - 12 years
Salary : INR 10 LPA - 32 LPA( includes 8%-10% variable)
No of Positions : 5
Role Description : ML Engineer/ML Operations Engineer
The ideal candidate is a hands-on technology developer with experience in developing scalable applications and platforms. They must be at ease working in an agile environment with little supervision. The person should be a self-motivated person with a passion for problem-solving and continuous learning.
Designation :
- Project Tech. Lead (4A): 5 - 7 Years
- Project Manager/Architect (4B/5A): 7 - 10 Years
Role and responsibilities :
Project Management (50%)
Front Door (Requirements, Metadata collection, classification & security clear
Skills
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
8,"RamSoft
4.1",Data Scientist,Bengaluru,"About Us

RamSoft is a global leader in Web based Radiology Solutions. With over 25 years of innovation in web radiology, we have provided several award-winning solutions to healthcare providers around the world. With state-of-art software and services, we are uniquely positioned to help Hospitals, Clinics and Physicians to deliver effective patient care. Our engineers continue to innovate using new technologies to help save patients.

RamSoft, is headquartered in Toronto, Canada. We are also present in USA, India, South Africa and Vietnam. RamSoft India's office is located in Bangalore.

Who are we looking for?

Our ideal candidate is deeply passionate about solving problems using data, who is knowledgeable of the different tools, technologies and techniques used to create an analytics platform enabling faster, empowered care for patients.

What will you do?
Develop and productize machine learning models created from large, complex data sets to provide insights for OmegaAI users
Monitor and evaluate the performance of models in production, identify and address any issues or anomalies, and provide recommendations for improvements.
Own, design, and conduct experiments to test hypotheses, validate models, and make recommendations for continuous improvement.
Stay up to date with the latest advancements in data science, machine learning, and analytics techniques, and apply them to OmegaAI.
Collaborate with Product Management, Data Engineers, and other stakeholders to understand their data requirements and design scalable, high-performance solutions that meet those requirements

What will you bring to RamSoft?
Experience converting a business idea into a functional end-2-end AI project
Excellent programming skills in Python. Strong working knowledge of NumPy, Pandas, Scikit-learn, Jupyter
Knowledge of predictive/prescriptive analytics including Machine Learning algorithms (Supervised and Unsupervised)
Experience with Natural Language Processing (NLTK) and text analytics for information extraction, parsing and topic modeling.
Functional knowledge of platforms like Azure Synapse, Azure Machine Learning
Experience creating efficient data pipeline
Experience performing complex data transformations
Thriving in a fast-paced, quickly evolving, tech start-up environment
Contributing to a collaborative, dynamic, and diverse team

You will REALLY stand out if you also have following:
Experience with data quality monitoring and anomaly detection
Deployed ML models in production
Show Less
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Software Development,1994,Unknown / Non-Applicable
9,"Greenizon Agritech Consultancy
3.9",Data Scientist - All Levels,Bengaluru,"Data Scientist - All Levels
Located in Bangalore, Karnataka, India
ABOUT THIS JOB
Salary: N.A
Employment Type: Full Time
Industry : Financial services
Company Type: Private
SKILLS
Python/R SQL Liner/Logistic Regression ModellingRisk ForestRLinear Regression Credit RiskDecision NetworksSupport
JOB DESCRIPTION
Responsibilities:
As part of the Data Science team, you will be part of the effort to transform Jai Kisan into an AI driven fintech company. We are looking for someone who has a proven track record of solving a variety of data science problems ( minimum 1 year of relevant work experience and a project portfolio on Github).
As a member of the data science team, you will be involved in strategizing new projects that add value to the business and implement them end-to-end. These projects will involve analyzing data, making statistical inferences to gain deep insights and building predictive modelsto generate significant business value and aid more informed decision making.

Day to day tasks will involve:
Identifying valuable data sources and automate collection processes
Undertaking pre-processing of structured and unstructured data
Analyzing large amounts of information to discover trends and patterns
Building predictive models and machine-learning algorithms
Presenting information using data visualization techniques
Proposing solutions and strategies to business challenges
Collaborating with other teams in the organization

Skills:
Graduate or post graduate with experience in solving data science problems
Proficient with Python/R and SQL
Statistical and ML modelling techniques: Linear/logistic regression (including advanced predictor selection techniques), classification (decision trees, random forests), Support VectorMachines (SVMs), neural networks, etc
Algorithm Development: Machine learning, Deep learning, and advanced Algorithmic solution development
Ability to think strategically about Customer experience, business, product, and technical challenges
Familiarity with tech stacks and ability to building scalable and production ready models
Good written and verbal communication skills
Jaikisan at a glance
Team of >500 people
Located in Bangalore, Karnataka, India
About Jaikisan
OUR VISION: Jai Kisan was founded with the vision of making financial inclusion a reality for rural individuals and businesses. Jai Kisan today provides digital financial services starting with credit for online and offline, income generating, rural commerce transactions. THE PROBLEM WE ARE SOLVING: Informal credit by the merchant or seller is an expectation for customers and not a value-added service in rural India. Lack of formalized credit poses a dire and imperative challenge for rural businesses to grow. WHAT WE DO: Jai Kisan has leveraged the captive relationship between the business and the farmer and rural individuals in a B2B2C manner to deploy credit to farmers and rural individuals en masse in a sustainable manner working with 700+ organized and unorganized entities in the space with a cumulative customer base of over 1.5 lakh rural individuals including farmers. By empowering rural businesses through point-of-sale/purchase credit, Jai-Kisan has helped create scalability for rural businesses and helps deploy low-cost formal credit to farmers and other rural individuals. OUR INVESTORS: Jai Kisan has raised US $30mn in Series A funding led by Mirae Asset with participation from Syngenta Group Ventures, existing investors and others, prior to this, Jai Kisan had raised US$ 4mn in a pre-Series A funding round led by Arkam Ventures. Also joining in the round was NABVENTURES — the VC arm of Indian development finance institution (DFI), the National Bank for Agriculture and Rural Development (NABARD) in its first-ever private investment. WHO WORKS AT JAI KISAN: The Jai Kisan team is dedicated towards executing our mission and is passionate towards supporting the transformation of rural India. An entrepreneurial attitude and passion to drive results are core values we seek in every member of our team. Our team comes with varied industry experiences from experienced product builders to industries such as private equity, management consultancy and much more. We pride ourselves on having a dedicated professional team focused on building world class solutions to deliver sustainable financing to rural India.
Show Less
Report",#N/A,51 to 200 Employees,Company - Private,Finance,Banking & Lending,2017,Unknown / Non-Applicable
